"Date","County","Doses_Allocated_1","Doses_Allocated_2","Doses_Administered","At_Least_One_Vaccinated","Fully_Vaccinated","Population_Over_16","Population_Over_65","Population_Phase_1A_Healthcare","Population_Phase1A_Care_Residents","Population_Phase_1B_Medical_Condition"
2021-01-03,"Hidalgo",4450,11700,7789,NA,NA,"620824","98328","54962","17074","286328"
2021-01-03,"Hill",300,NA,305,NA,NA,"29198","7684","862","523","11381"
2021-01-03,"Hockley",200,NA,281,NA,NA,"17799","3453","483","263","6829"
2021-01-03,"Hood",300,NA,638,NA,NA,"50193","15416","1720","867","16867"
2021-01-03,"Hopkins",400,NA,166,NA,NA,"29175","6887","1192","620","11166"
2021-01-03,"Houston",100,NA,132,NA,NA,"18929","5176","634","538","7399"
2021-01-03,"Hunt",0,975,1083,NA,NA,"77878","15810","4112","947","31096"
2021-01-03,"Hutchinson",100,NA,243,NA,NA,"16258","3581","504","246","6098"
2021-01-03,"Jack",100,NA,45,NA,NA,"7230","1515","198","149","2732"
2021-01-03,"Jasper",300,NA,108,NA,NA,"28056","7187","1597","374","11687"
2021-01-03,"Jefferson",1275,2925,1104,NA,NA,"197382","37595","13127","2431","90120"
2021-01-03,"Jim Wells",400,NA,388,NA,NA,"30579","6358","3897","985","12474"
2021-01-03,"Johnson",1100,NA,1256,NA,NA,"135345","25151","3559","1471","53224"
2021-01-03,"Jones",100,NA,52,NA,NA,"17011","3188","337","254","6981"
2021-01-03,"Karnes",500,NA,67,NA,NA,"12669","2211","370","244","5177"
2021-01-03,"Kaufman",500,975,1149,NA,NA,"102341","16113","2857","1189","40613"
2021-01-03,"Kerr",100,NA,530,NA,NA,"43793","14769","2805","1022","13990"
2021-01-03,"Kleberg",200,NA,264,NA,NA,"24188","4046","1401","341","9265"
2021-01-03,"Knox",100,NA,58,NA,NA,"2808","736","95","127","976"
2021-01-03,"La Salle",100,NA,22,NA,NA,"6212","1018","22","60","2410"
2021-01-03,"Lamar",300,NA,1175,NA,NA,"39402","9726","3115","745","14986"
2021-01-03,"Lampasas",200,NA,140,NA,NA,"17366","4322","348","284","6457"
2021-01-03,"Lavaca",200,NA,304,NA,NA,"16004","4775","820","612","5435"
2021-01-03,"Leon",100,NA,123,NA,NA,"13946","4334","155","74","4662"
2021-01-03,"Liberty",700,NA,234,NA,NA,"66868","11399","1398","614","28567"
2021-01-03,"Limestone",200,NA,99,NA,NA,"18871","4670","2332","1060","7512"
2021-01-03,"Live Oak",100,NA,38,NA,NA,"10055","2533","35","100","3769"
2021-01-03,"Llano",100,NA,108,NA,NA,"18908","8119","277","358","5362"
2021-01-03,"Lubbock",2400,4875,4786,NA,NA,"244992","39476","20974","4093","83028"
2021-01-03,"Lynn",200,NA,68,NA,NA,"4496","974","191","40","1838"
2021-01-03,"Matagorda",100,NA,299,NA,NA,"28247","6391","1113","369","11409"
2021-01-03,"Maverick",200,NA,451,NA,NA,"42606","7003","2970","1198","18727"
2021-01-03,"Mcculloch",200,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-03,"Mclennan",600,1950,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-03,"Medina",100,NA,439,NA,NA,"41263","8757","899","536","16090"
2021-01-03,"Midland",700,1950,819,NA,NA,"131025","18438","5950","1288","49538"
2021-01-03,"Milam",400,NA,147,NA,NA,"19689","5245","532","297","7641"
2021-01-03,"Montague",100,NA,101,NA,NA,"15872","4444","560","383","5668"
2021-01-03,"Montgomery",2000,4875,5053,NA,NA,"467232","81457","20255","3836","157396"
2021-01-03,"Moore",100,NA,261,NA,NA,"14986","2372","448","176","6143"
2021-01-03,"Morris",100,NA,115,NA,NA,"9830","2730","77","179","3692"
