"Level","Date","Cases_Raw","Cases_Daily","CI_Lower","CI_Upper","Order_AutoReg","Order_Moving_Avg","Differencing"
"Hale",2020-05-14,1,NA,NA,NA,NA,NA,NA
"Hale",2020-05-15,1,NA,NA,NA,NA,NA,NA
"Hale",2020-05-16,1,NA,NA,NA,NA,NA,NA
"Hale",2020-05-17,1,NA,NA,NA,NA,NA,NA
"Hale",2020-05-18,0,NA,NA,NA,NA,NA,NA
"Hale",2020-05-19,5,NA,NA,NA,NA,NA,NA
"Hale",2020-05-20,0,NA,NA,NA,NA,NA,NA
"Hale",2020-05-21,1,NA,NA,NA,NA,NA,NA
"Hale",2020-05-22,3,NA,NA,NA,NA,NA,NA
"Hale",2020-05-23,1,NA,NA,NA,NA,NA,NA
"Hale",2020-05-24,1,NA,NA,NA,NA,NA,NA
"Hale",2020-05-25,0,NA,NA,NA,NA,NA,NA
"Hale",2020-05-26,0,NA,NA,NA,NA,NA,NA
"Hale",2020-05-27,1,NA,NA,NA,NA,NA,NA
"Hale",2020-05-28,0,NA,NA,NA,NA,NA,NA
"Hale",2020-05-29,1,NA,NA,NA,NA,NA,NA
"Hale",2020-05-30,0,NA,NA,NA,NA,NA,NA
"Hale",2020-05-31,1,NA,NA,NA,NA,NA,NA
"Hale",2020-06-01,0,NA,NA,NA,NA,NA,NA
"Hale",2020-06-02,0,NA,NA,NA,NA,NA,NA
"Hale",2020-06-03,2,NA,NA,NA,NA,NA,NA
"Hale",2020-06-04,0,NA,NA,NA,NA,NA,NA
"Hale",2020-06-05,0,NA,NA,NA,NA,NA,NA
"Hale",2020-06-06,0,NA,NA,NA,NA,NA,NA
"Hale",2020-06-07,0,NA,NA,NA,NA,NA,NA
"Hale",2020-06-08,1,NA,NA,NA,NA,NA,NA
"Hale",2020-06-09,0,NA,NA,NA,NA,NA,NA
"Hale",2020-06-10,6,NA,NA,NA,NA,NA,NA
"Hale",2020-06-11,0,NA,NA,NA,NA,NA,NA
"Hale",2020-06-12,9,NA,NA,NA,NA,NA,NA
"Hale",2020-06-13,0,NA,NA,NA,NA,NA,NA
"Hale",2020-06-14,9,NA,NA,NA,NA,NA,NA
"Hale",2020-06-15,0,NA,NA,NA,NA,NA,NA
"Hale",2020-06-16,15,NA,NA,NA,NA,NA,NA
"Hale",2020-06-17,10,NA,NA,NA,NA,NA,NA
"Hale",2020-06-18,0,NA,NA,NA,NA,NA,NA
"Hale",2020-06-19,12,NA,NA,NA,NA,NA,NA
"Hale",2020-06-20,13,NA,NA,NA,NA,NA,NA
"Hale",2020-06-21,4,NA,NA,NA,NA,NA,NA
"Hale",2020-06-22,0,NA,NA,NA,NA,NA,NA
"Hale",2020-06-23,37,NA,NA,NA,NA,NA,NA
"Hale",2020-06-24,2,NA,NA,NA,NA,NA,NA
"Hale",2020-06-25,36,NA,NA,NA,NA,NA,NA
"Hale",2020-06-26,21,NA,NA,NA,NA,NA,NA
"Hale",2020-06-27,0,NA,NA,NA,NA,NA,NA
"Hale",2020-06-28,0,NA,NA,NA,NA,NA,NA
"Hale",2020-06-29,0,NA,NA,NA,NA,NA,NA
"Hale",2020-06-30,50,NA,NA,NA,NA,NA,NA
"Hale",2020-07-01,15,NA,NA,NA,NA,NA,NA
"Hale",2020-07-02,NA,NA,NA,NA,NA,NA,NA
"Hale",2020-07-03,NA,NA,NA,NA,NA,NA,NA
"Hale",2020-07-04,NA,NA,NA,NA,NA,NA,NA
"Hale",2020-07-05,NA,NA,NA,NA,NA,NA,NA
"Hale",2020-07-06,NA,NA,NA,NA,NA,NA,NA
"Hale",2020-07-07,NA,NA,NA,NA,NA,NA,NA
"Hale",2020-07-08,NA,NA,NA,NA,NA,NA,NA
"Hale",2020-07-09,NA,NA,NA,NA,NA,NA,NA
"Hale",2020-07-10,NA,NA,NA,NA,NA,NA,NA
"Hale",2020-07-11,NA,NA,NA,NA,NA,NA,NA
"Hall",2020-03-04,0,NA,NA,NA,NA,NA,NA
"Hall",2020-03-05,0,NA,NA,NA,NA,NA,NA
"Hall",2020-03-06,0,NA,NA,NA,NA,NA,NA
"Hall",2020-03-07,NA,NA,NA,NA,NA,NA,NA
"Hall",2020-03-08,NA,NA,NA,NA,NA,NA,NA
"Hall",2020-03-09,0,NA,NA,NA,NA,NA,NA
