County,Date,viral_load,source
Harris,2021-03-15,118.69320876397398,houston_wastewater_dashboard
Harris,2021-03-22,118.62390678918044,houston_wastewater_dashboard
Harris,2021-03-29,118.5885896071723,houston_wastewater_dashboard
Harris,2021-04-05,118.55139436236303,houston_wastewater_dashboard
Harris,2021-04-12,118.47776763467733,houston_wastewater_dashboard
Harris,2021-04-19,118.35093632528557,houston_wastewater_dashboard
Harris,2021-04-26,118.15792550140321,houston_wastewater_dashboard
Harris,2021-05-03,117.86904469235469,houston_wastewater_dashboard
Harris,2021-05-10,117.45249088567641,houston_wastewater_dashboard
Harris,2021-05-17,116.8770434238057,houston_wastewater_dashboard
Harris,2021-05-24,116.14879820169028,houston_wastewater_dashboard
Harris,2021-05-31,115.42173441958764,houston_wastewater_dashboard
Harris,2021-06-07,114.90258920953977,houston_wastewater_dashboard
Harris,2021-06-14,114.7986282675709,houston_wastewater_dashboard
Harris,2021-06-21,115.31644156708451,houston_wastewater_dashboard
Harris,2021-06-28,116.59016696522724,houston_wastewater_dashboard
Harris,2021-07-05,118.46148507005725,houston_wastewater_dashboard
Harris,2021-07-12,120.61795451492982,houston_wastewater_dashboard
Harris,2021-07-19,122.74129554121097,houston_wastewater_dashboard
Harris,2021-07-26,124.52772506706827,houston_wastewater_dashboard
Harris,2021-08-02,125.76537711147137,houston_wastewater_dashboard
Harris,2021-08-09,126.34372769831351,houston_wastewater_dashboard
Harris,2021-08-16,126.35635906813035,houston_wastewater_dashboard
Harris,2021-08-23,125.94664737075126,houston_wastewater_dashboard
Harris,2021-08-30,125.24959147886248,houston_wastewater_dashboard
Harris,2021-09-06,124.40261105600874,houston_wastewater_dashboard
Harris,2021-09-13,123.54077356153249,houston_wastewater_dashboard
Harris,2021-09-20,122.73473530515278,houston_wastewater_dashboard
Harris,2021-09-27,121.9850896072723,houston_wastewater_dashboard
Harris,2021-10-04,121.25409575097575,houston_wastewater_dashboard
Harris,2021-10-11,120.47866399505315,houston_wastewater_dashboard
Harris,2021-10-18,119.59465713450307,houston_wastewater_dashboard
Harris,2021-10-25,118.55376878802241,houston_wastewater_dashboard
Harris,2021-11-01,117.45807566290193,houston_wastewater_dashboard
Harris,2021-11-08,116.5613480980428,houston_wastewater_dashboard
Harris,2021-11-15,116.13702173541085,houston_wastewater_dashboard
Harris,2021-11-22,116.45928611270456,houston_wastewater_dashboard
Harris,2021-11-29,117.78141148970951,houston_wastewater_dashboard
Harris,2021-12-06,120.03292178047059,houston_wastewater_dashboard
Harris,2021-12-13,122.73186952610764,houston_wastewater_dashboard
Harris,2021-12-20,125.34980132413862,houston_wastewater_dashboard
Harris,2021-12-27,127.35769121775036,houston_wastewater_dashboard
Harris,2022-01-03,128.292007410005,houston_wastewater_dashboard
Harris,2022-01-10,127.91021318709724,houston_wastewater_dashboard
Harris,2022-01-17,126.36387390861564,houston_wastewater_dashboard
Harris,2022-01-24,124.04156336304459,houston_wastewater_dashboard
Harris,2022-01-31,121.33487349837006,houston_wastewater_dashboard
Harris,2022-02-07,118.60885546188312,houston_wastewater_dashboard
Harris,2022-02-14,116.21367182922341,houston_wastewater_dashboard
Harris,2022-02-21,114.42302201990753,houston_wastewater_dashboard
Harris,2022-02-28,113.2565736835147,houston_wastewater_dashboard
Harris,2022-03-07,112.66079966899542,houston_wastewater_dashboard
Harris,2022-03-14,112.5303037811296,houston_wastewater_dashboard
Harris,2022-03-21,112.7472224472949,houston_wastewater_dashboard
Harris,2022-03-28,113.1925195489178,houston_wastewater_dashboard
Harris,2022-04-04,113.79372944695307,houston_wastewater_dashboard
Harris,2022-04-11,114.54019683816836,houston_wastewater_dashboard
Harris,2022-04-18,115.43321629823572,houston_wastewater_dashboard
Harris,2022-04-25,116.68148921163868,houston_wastewater_dashboard
Harris,2022-05-02,117.58998386346127,houston_wastewater_dashboard
Harris,2022-05-09,119.07187914056681,houston_wastewater_dashboard
Harris,2022-05-16,120.76907987289864,houston_wastewater_dashboard
Harris,2022-05-23,122.60629995691016,houston_wastewater_dashboard
