District,Date,LEA,District_Total_Enrollment,Campus,Campus_ID,Cases_Student_New,Cases_Staff_New,Case_Source_Campus,Case_Source_OffCampus,Case_Source_Unknown
ANNA ISD,2021-09-12,043902,3959,NA,NA,NA,6,NA,NA,NA
CELINA ISD,2021-09-12,043903,3023,NA,NA,17,3,0,3,17
FARMERSVILLE ISD,2021-09-12,043904,1889,NA,NA,20,4,0,23,1
FRISCO ISD,2021-09-12,043905,63758,NA,NA,296,31,41,6,280
MCKINNEY ISD,2021-09-12,043907,23180,NA,NA,NA,NA,NA,NA,NA
MELISSA ISD,2021-09-12,043908,3984,NA,NA,99,4,35,18,50
PLANO ISD,2021-09-12,043910,49933,NA,NA,222,40,0,12,250
PRINCETON ISD,2021-09-12,043911,5959,NA,NA,71,8,0,8,71
PROSPER ISD,2021-09-12,043912,19412,NA,NA,168,17,0,4,181
WYLIE ISD,2021-09-12,043914,17513,NA,NA,185,18,0,0,203
BLUE RIDGE ISD,2021-09-12,043917,862,NA,NA,NA,6,NA,NA,NA
COMMUNITY ISD,2021-09-12,043918,2769,NA,NA,19,8,24,3,0
LOVEJOY ISD,2021-09-12,043919,4231,NA,NA,NA,NA,NA,NA,NA
WELLINGTON ISD,2021-09-12,044902,532,NA,NA,NA,NA,NA,NA,NA
COLUMBUS ISD,2021-09-12,045902,1536,NA,NA,NA,NA,NA,NA,NA
RICE CISD,2021-09-12,045903,1225,NA,NA,NA,1,NA,NA,NA
WEIMAR ISD,2021-09-12,045905,668,NA,NA,NA,0,NA,NA,NA
TRINITY CHARTER SCHOOL,2021-09-12,046802,424,NA,NA,0,1,0,0,1
NEW BRAUNFELS ISD,2021-09-12,046901,9260,NA,NA,70,8,1,3,74
COMAL ISD,2021-09-12,046902,25680,NA,NA,480,50,102,178,250
COMANCHE ISD,2021-09-12,047901,1223,NA,NA,7,3,0,0,10
DE LEON ISD,2021-09-12,047902,738,NA,NA,NA,1,NA,NA,NA
GUSTINE ISD,2021-09-12,047903,141,NA,NA,NA,NA,NA,NA,NA
SIDNEY ISD,2021-09-12,047905,142,NA,NA,NA,NA,NA,NA,NA
EDEN CISD,2021-09-12,048901,229,NA,NA,9,2,0,0,11
PAINT ROCK ISD,2021-09-12,048903,236,NA,NA,NA,1,NA,NA,NA
GAINESVILLE ISD,2021-09-12,049901,3054,NA,NA,NA,NA,NA,NA,NA
MUENSTER ISD,2021-09-12,049902,533,NA,NA,NA,NA,NA,NA,NA
VALLEY VIEW ISD,2021-09-12,049903,890,NA,NA,NA,4,NA,NA,NA
CALLISBURG ISD,2021-09-12,049905,1083,NA,NA,NA,2,NA,NA,NA
ERA ISD,2021-09-12,049906,481,NA,NA,8,1,0,0,9
LINDSAY ISD,2021-09-12,049907,485,NA,NA,NA,1,NA,NA,NA
WALNUT BEND ISD,2021-09-12,049908,55,NA,NA,NA,NA,NA,NA,NA
SIVELLS BEND ISD,2021-09-12,049909,48,NA,NA,NA,NA,NA,NA,NA
EVANT ISD,2021-09-12,050901,301,NA,NA,NA,0,NA,NA,NA
GATESVILLE ISD,2021-09-12,050902,2758,NA,NA,NA,5,NA,NA,NA
OGLESBY ISD,2021-09-12,050904,186,NA,NA,NA,NA,NA,NA,NA
JONESBORO ISD,2021-09-12,050909,319,NA,NA,NA,NA,NA,NA,NA
COPPERAS COVE ISD,2021-09-12,050910,8029,NA,NA,157,33,2,53,136
PADUCAH ISD,2021-09-12,051901,185,NA,NA,NA,NA,NA,NA,NA
CRANE ISD,2021-09-12,052901,1088,NA,NA,5,1,0,4,2
CROCKETT COUNTY CONSOLIDATED CSD,2021-09-12,053001,756,NA,NA,NA,NA,NA,NA,NA
CROSBYTON CISD,2021-09-12,054901,317,NA,NA,NA,NA,NA,NA,NA
LORENZO ISD,2021-09-12,054902,226,NA,NA,NA,NA,NA,NA,NA
RALLS ISD,2021-09-12,054903,475,NA,NA,NA,1,NA,NA,NA
CULBERSON COUNTY-ALLAMOORE ISD,2021-09-12,055901,363,NA,NA,NA,NA,NA,NA,NA
DALHART ISD,2021-09-12,056901,1600,NA,NA,NA,NA,NA,NA,NA
TEXLINE ISD,2021-09-12,056902,195,NA,NA,NA,NA,NA,NA,NA
PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,2021-09-12,057802,507,NA,NA,NA,NA,NA,NA,NA
UPLIFT EDUCATION,2021-09-12,057803,21215,NA,NA,NA,NA,NA,NA,NA
TEXANS CAN ACADEMIES,2021-09-12,057804,4453,NA,NA,NA,NA,NA,NA,NA
LUMIN EDUCATION,2021-09-12,057805,255,NA,NA,NA,NA,NA,NA,NA
ADVANTAGE ACADEMY,2021-09-12,057806,1185,NA,NA,7,1,0,0,8
LIFE SCHOOL,2021-09-12,057807,5518,NA,NA,58,10,0,1,67
UNIVERSAL ACADEMY,2021-09-12,057808,2351,NA,NA,NA,NA,NA,NA,NA
NOVA ACADEMY,2021-09-12,057809,121,NA,NA,NA,NA,NA,NA,NA
ACADEMY OF DALLAS,2021-09-12,057810,323,NA,NA,NA,NA,NA,NA,NA
TRINITY BASIN PREPARATORY,2021-09-12,057813,4183,NA,NA,NA,7,NA,NA,NA
ACADEMY FOR ACADEMIC EXCELLENCE,2021-09-12,057814,279,NA,NA,NA,NA,NA,NA,NA
A W BROWN LEADERSHIP ACADEMY,2021-09-12,057816,1357,NA,NA,NA,NA,NA,NA,NA
JEAN MASSIEU ACADEMY,2021-09-12,057819,193,NA,NA,NA,NA,NA,NA,NA
NOVA ACADEMY SOUTHEAST,2021-09-12,057827,600,NA,NA,NA,NA,NA,NA,NA
WINFREE ACADEMY CHARTER SCHOOLS,2021-09-12,057828,1235,NA,NA,5,0,0,0,5
A+ ACADEMY,2021-09-12,057829,1449,NA,NA,NA,1,NA,NA,NA
INSPIRED VISION ACADEMY,2021-09-12,057830,1283,NA,NA,NA,2,NA,NA,NA
GATEWAY CHARTER ACADEMY,2021-09-12,057831,756,NA,NA,NA,NA,NA,NA,NA
EDUCATION CENTER INTERNATIONAL ACADEMY,2021-09-12,057833,535,NA,NA,NA,NA,NA,NA,NA
