County,Date,cases_cumulative,deaths_cumulative
Travis,2021-11-16,121361,1180
Travis,2021-11-17,121508,1181
Travis,2021-11-18,121617,1182
Travis,2021-11-19,121709,1184
Travis,2021-11-20,0,0
Travis,2021-11-21,0,0
Travis,2021-11-22,121812,1184
Travis,2021-11-23,122029,1184
Travis,2021-11-24,122176,1185
Travis,2021-11-25,0,0
Travis,2021-11-26,0,0
Travis,2021-11-27,0,0
Travis,2021-11-28,0,0
Travis,2021-11-29,122277,1185
Travis,2021-11-30,122630,1188
Travis,2021-12-01,122809,1188
Travis,2021-12-02,122933,1192
Travis,2021-12-03,123040,1194
Travis,2021-12-04,0,0
Travis,2021-12-05,0,0
Travis,2021-12-06,123240,1195
Travis,2021-12-07,123514,1198
Travis,2021-12-08,123701,1201
Travis,2021-12-09,123854,1203
Travis,2021-12-10,123993,1206
Travis,2021-12-11,0,0
Travis,2021-12-12,0,0
Travis,2021-12-13,124142,1207
Travis,2021-12-14,124484,1207
Travis,2021-12-15,124631,1208
Travis,2021-12-16,124869,1210
Travis,2021-12-17,125272,1210
Travis,2021-12-18,0,0
Travis,2021-12-19,0,0
Travis,2021-12-20,125592,1212
Travis,2021-12-21,126437,1213
Travis,2021-12-22,127100,1213
Travis,2021-12-23,0,0
Travis,2021-12-24,0,0
Travis,2021-12-25,0,0
Travis,2021-12-26,0,0
Travis,2021-12-27,127569,1214
Travis,2021-12-28,128434,1216
Travis,2021-12-29,129518,1218
Travis,2021-12-30,130386,1218
Travis,2021-12-31,131240,1218
Travis,2022-01-01,0,0
Travis,2022-01-02,0,0
Travis,2022-01-03,132285,1218
Travis,2022-01-04,133434,1220
Travis,2022-01-05,134684,1220
Travis,2022-01-06,136004,1221
Travis,2022-01-07,137126,1221
Travis,2022-01-08,0,0
Travis,2022-01-09,0,0
Travis,2022-01-10,138751,1222
Travis,2022-01-11,139969,1223
Travis,2022-01-12,141049,1223
Travis,2022-01-13,142348,1223
Travis,2022-01-14,143911,1225
Travis,2022-01-15,0,0
Travis,2022-01-16,0,0
Travis,2022-01-17,0,0
Travis,2022-01-18,147773,1227
Travis,2022-01-19,148820,1227
Travis,2022-01-20,149949,1231
Travis,2022-01-21,154865,1235
Travis,2022-01-22,0,0
Travis,2022-01-23,0,0
Travis,2022-01-24,157015,1237
Travis,2022-01-25,163736,1249
Travis,2022-01-26,164913,1254
Travis,2022-01-27,165906,1257
Travis,2022-01-28,167032,1260
Travis,2022-01-29,0,0
Travis,2022-01-30,0,0
Travis,2022-01-31,168740,1264
Travis,2022-02-01,169561,1273
Travis,2022-02-02,180152,1276
Travis,2022-02-03,0,0
Travis,2022-02-04,0,0
Travis,2022-02-05,0,0
Travis,2022-02-06,0,0
Travis,2022-02-07,181202,1281
Travis,2022-02-08,182026,1283
Travis,2022-02-09,182715,1295
Travis,2022-02-10,183500,1301
Travis,2022-02-11,184301,1314
