"PHR","Date","Rt","lower","upper"
"11 - Harlingen PHR",2020-08-11,0.8373747835922,0.792057270976749,0.884490275530915
"11 - Harlingen PHR",2020-08-12,0.851410176134108,0.805120297504687,0.899692640142971
"11 - Harlingen PHR",2020-08-13,0.853965587380255,0.803713159417843,0.900924571783905
"11 - Harlingen PHR",2020-08-14,0.849457244819082,0.803808250402103,0.897470898925722
"11 - Harlingen PHR",2020-08-15,0.855800470857548,0.805385590956462,0.905640230586247
"11 - Harlingen PHR",2020-08-16,0.851710331897131,0.802012371097684,0.901384517955182
"11 - Harlingen PHR",2020-08-17,0.838477916307126,0.786425385476213,0.885748163162766
"11 - Harlingen PHR",2020-08-18,0.855810524811496,0.802499104795723,0.910139549854689
"11 - Harlingen PHR",2020-08-19,0.846245973000794,0.79514738211047,0.901062746174277
"11 - Harlingen PHR",2020-08-20,0.853711805318684,0.794968853326198,0.910239337058497
"11 - Harlingen PHR",2020-08-21,0.878313336180936,0.819541828819013,0.937123152896347
"11 - Harlingen PHR",2020-08-22,0.902245212834919,0.842141114262169,0.967487070181282
"11 - Harlingen PHR",2020-08-23,0.92993599910961,0.868825445065948,0.9929781339316
"11 - Harlingen PHR",2020-08-24,0.962312377181572,0.902856490627316,1.02364404815719
"11 - Harlingen PHR",2020-08-25,0.952469184985865,0.892435732356542,1.01047010415966
"11 - Harlingen PHR",2020-08-26,0.955166901350922,0.897257519026811,1.01212381977179
"11 - Harlingen PHR",2020-08-27,0.922302911551897,0.871709505339282,0.974091494221412
"11 - Harlingen PHR",2020-08-28,0.880008935132205,0.821931467832538,0.936486963100417
"11 - Harlingen PHR",2020-08-29,0.854296739591242,0.799930355534395,0.909652682835452
"11 - Harlingen PHR",2020-08-30,0.814526513499789,0.763447502674998,0.866363724312554
"11 - Harlingen PHR",2020-08-31,0.771938987305512,0.716218558371577,0.825161441497374
"11 - Harlingen PHR",2020-09-01,0.754911147580322,0.697738811864608,0.807541199030101
