"District","LEA","County"
"Baird ISD","30903","Callahan"
"Baird ISD","30903","Coleman"
"Baird ISD","30903","Eastland"
"Baird ISD","30903","Shackelford"
"Ballinger ISD","200901","Coleman"
"Ballinger ISD","200901","Concho"
"Ballinger ISD","200901","Runnels"
"Balmorhea ISD","195902","Culberson"
"Balmorhea ISD","195902","Jeff Davis"
"Balmorhea ISD","195902","Reeves"
"Bandera ISD","10902","Bandera"
"Bandera ISD","10902","Bexar"
"Bandera ISD","10902","Kendall"
"Bandera ISD","10902","Kerr"
"Bandera ISD","10902","Medina"
"Bangs ISD","25901","Brown"
"Bangs ISD","25901","Coleman"
"Banquete ISD","178913","Jim Wells"
"Banquete ISD","178913","Nueces"
"Banquete ISD","178913","San Patricio"
"Barbers Hill ISD","36902","Chambers"
"Barbers Hill ISD","36902","Galveston"
"Barbers Hill ISD","36902","Harris"
"Barbers Hill ISD","36902","Liberty"
"Bartlett ISD","14902","Bell"
"Bartlett ISD","14902","Milam"
"Bartlett ISD","14902","Williamson"
"Bastrop ISD","11901","Bastrop"
"Bastrop ISD","11901","Caldwell"
"Bastrop ISD","11901","Lee"
"Bastrop ISD","11901","Travis"
"Bay City ISD","158901","Matagorda"
"Bay City ISD","158901","Wharton"
"Beaumont ISD","123910","Hardin"
"Beaumont ISD","123910","Jefferson"
"Beaumont ISD","123910","Orange"
"Beckville ISD","183901","Harrison"
"Beckville ISD","183901","Panola"
"Beckville ISD","183901","Rusk"
"Beeville ISD","13901","Bee"
"Beeville ISD","13901","Goliad"
"Beeville ISD","13901","Live Oak"
"Beeville ISD","13901","Refugio"
"Bellevue ISD","39904","Clay"
"Bellevue ISD","39904","Montague"
"Bells ISD","91901","Fannin"
"Bells ISD","91901","Grayson"
"Bellville ISD","8901","Austin"
"Bellville ISD","8901","Colorado"
"Bellville ISD","8901","Fayette"
"Bellville ISD","8901","Waller"
"Bellville ISD","8901","Washington"
"Belton ISD","14903","Bell"
"Belton ISD","14903","Coryell"
"Ben Bolt-Palito Blanco ISD","125902","Duval"
"Ben Bolt-Palito Blanco ISD","125902","Jim Wells"
"Ben Bolt-Palito Blanco ISD","125902","Kleberg"
"Benavides ISD","66901","Duval"
"Benavides ISD","66901","Jim Hogg"
"Benavides ISD","66901","Webb"
"Benjamin ISD","138904","Baylor"
"Benjamin ISD","138904","Foard"
"Benjamin ISD","138904","King"
"Benjamin ISD","138904","Knox"
"Big Sandy ISD","Polk","Hardin"
"Big Sandy ISD","Polk","Liberty"
"Big Sandy ISD","Polk","Polk"
"Big Sandy ISD","Polk","Tyler"
"Big Sandy ISD","Upshur","Gregg"
"Big Sandy ISD","Upshur","Smith"
"Big Sandy ISD","Upshur","Upshur"
"Big Sandy ISD","Upshur","Wood"
"Big Spring ISD","114901","Borden"
"Big Spring ISD","114901","Howard"
"Big Spring ISD","114901","Martin"
"Birdville ISD","220902","Tarrant"
"Bishop Cons ISD","178902","Jim Wells"
"Bishop Cons ISD","178902","Kleberg"
"Bishop Cons ISD","178902","Nueces"
"Blackwell Cons ISD","177903","Coke"
"Blackwell Cons ISD","177903","Nolan"
"Blackwell Cons ISD","177903","Runnels"
"Blackwell Cons ISD","177903","Taylor"
