"LEA","District","County"
242905,"Kelton ISD","Wheeler"
242906,"Fort Elliott Cisd","Gray,Hemphill,Roberts,Wheeler"
243901,"Burkburnett ISD","Clay,Wichita"
243902,"Electra ISD","Archer,Wichita,Wilbarger"
243903,"Iowa Park Cisd","Archer,Baylor,Wichita"
243905,"Wichita Falls ISD","Archer,Clay,Wichita"
243906,"City View ISD","Wichita"
244901,"Harrold ISD","Archer,Baylor,Wichita,Wilbarger"
244903,"Vernon ISD","Baylor,Foard,Hardeman,Wilbarger"
244905,"Northside ISD","Wilbarger"
245901,"Lasara ISD","Hidalgo,Willacy"
245902,"Lyford Cisd","Cameron,Hidalgo,Willacy"
245903,"Raymondville ISD","Hidalgo,Kenedy,Willacy"
245904,"San Perlita ISD","Kenedy,Willacy"
246902,"Florence ISD","Bell,Burnet,Williamson"
246904,"Georgetown ISD","Williamson"
246905,"Granger ISD","Milam,Williamson"
246906,"Hutto ISD","Travis,Williamson"
246907,"Jarrell ISD","Bell,Williamson"
246908,"Liberty Hill ISD","Burnet,Travis,Williamson"
246909,"Round Rock ISD","Travis,Williamson"
246911,"Taylor ISD","Travis,Williamson"
246912,"Thrall ISD","Lee,Milam,Williamson"
246913,"Leander ISD","Burnet,Travis,Williamson"
246914,"Coupland ISD","Bastrop,Lee,Travis,Williamson"
247901,"Floresville ISD","Atascosa,Bexar,Wilson"
247903,"La Vernia ISD","Bexar,Guadalupe,Wilson"
247904,"Poth ISD","Atascosa,Karnes,Wilson"
247906,"Stockdale ISD","Guadalupe,Karnes,Wilson"
248901,"Kermit ISD","Andrews,Ector,Winkler"
248902,"Wink-Loving ISD","Ector,Loving,Reeves,Ward,Winkler"
249901,"Alvord ISD","Montague,Wise"
249902,"Boyd ISD","Wise"
249903,"Bridgeport ISD","Jack,Wise"
249904,"Chico ISD","Jack,Montague,Wise"
249905,"Decatur ISD","Denton,Wise"
249906,"Paradise ISD","Wise"
249908,"Slidell ISD","Cooke,Denton,Montague,Wise"
250902,"Hawkins ISD","Smith,Wood"
250903,"Mineola ISD","Smith,Wood"
250904,"Quitman ISD","Hopkins,Wood"
250905,"Yantis ISD","Hopkins,Rains,Wood"
250906,"Alba-Golden ISD","Rains,Smith,Van Zandt,Wood"
250907,"Winnsboro ISD","Camp,Franklin,Hopkins,Wood"
251901,"Denver City ISD","Gaines,Terry,Yoakum"
251902,"Plains ISD","Cochran,Hockley,Terry,Yoakum"
252901,"Graham ISD","Archer,Jack,Palo Pinto,Stephens,Throckmorton,Young"
252902,"Newcastle ISD","Throckmorton,Young"
252903,"Olney ISD","Archer,Baylor,Throckmorton,Young"
253901,"Zapata County ISD","Jim Hogg,Starr,Webb,Zapata"
254901,"Crystal City ISD","Dimmit,Frio,Maverick,Zavala"
254902,"La Pryor ISD","Kinney,Maverick,Uvalde,Zavala"
3801,"Pineywoods Community
Academy","Angelina"
13801,"St Mary's Academy Charter
School","Bee"
14801,"Richard Milburn Alter High
School (Killeen)","Bell"
14803,"Priority Charter Schools","Bell"
14804,"Orenda Charter School","Bell"
15801,"Por Vida Academy","Bexar"
15802,"George Gervin Academy","Bexar"
15805,"New Frontiers Public
Schools Inc","Bexar"
15806,"School Of Excellence In
Education","Bexar"
15807,"Southwest Preparatory
School","Bexar"
15808,"Inspire Academies","Bexar"
15809,"Bexar County Academy","Bexar"
15814,"Positive Solutions
Charter School","Bexar"
15815,"Heritage Academy","Bexar"
15822,"Jubilee Academies","Bexar"
15825,"Lighthouse Charter
School","Bexar"
15827,"School Of Science And
Technology","Bexar"
15828,"Harmony Science Acad (San
Antonio)","Bexar"
15830,"Brooks Academies Of
Texas","Bexar"
15831,"School Of Science And
Technology Discovery","Bexar"
15833,"Henry Ford Academy
Alameda School For Art +
Design","Bexar"
15834,"Basis Texas","Bexar"
15835,"Great Hearts Texas","Bexar"
15836,"Eleanor Kolitz Hebrew
Language Academy","Bexar"
