County,Date,cases_cumulative,deaths_cumulative,cases_daily,deaths_daily
Travis,2021-03-20,78108,802,97,0
Travis,2021-03-21,78193,802,85,0
Travis,2021-03-22,78308,802,115,0
Travis,2021-03-23,78372,803,64,1
Travis,2021-03-24,78496,806,124,3
Travis,2021-03-25,78602,811,106,5
Travis,2021-03-26,78661,812,59,1
Travis,2021-03-27,78828,812,167,0
Travis,2021-03-28,78907,812,79,0
Travis,2021-03-29,78994,812,87,0
Travis,2021-03-30,79085,816,91,4
Travis,2021-03-31,79217,817,132,1
Travis,2021-04-01,79324,818,107,1
Travis,2021-04-02,79422,819,98,1
Travis,2021-04-03,79493,819,71,0
Travis,2021-04-05,79645,819,152,0
Travis,2021-04-06,79787,821,142,2
Travis,2021-04-07,79922,821,135,0
Travis,2021-04-08,80031,823,109,2
Travis,2021-04-09,80123,823,92,0
Travis,2021-04-10,80272,823,149,0
Travis,2021-04-11,80446,823,174,0
Travis,2021-04-12,80533,823,87,0
Travis,2021-04-13,80642,829,109,6
Travis,2021-04-14,80799,831,157,2
Travis,2021-04-15,80909,835,110,4
Travis,2021-04-16,81002,837,93,2
Travis,2021-04-17,81138,837,136,0
Travis,2021-04-18,81199,837,61,0
Travis,2021-04-19,81342,837,143,0
Travis,2021-04-20,81470,839,128,2
Travis,2021-04-21,81551,840,81,1
Travis,2021-04-22,81600,844,49,4
Travis,2021-04-23,81686,845,86,1
Travis,2021-04-24,81739,845,53,0
Travis,2021-04-25,81811,845,72,0
Travis,2021-04-26,81906,847,95,2
Travis,2021-04-27,82057,847,151,0
Travis,2021-04-28,82152,847,95,0
Travis,2021-04-29,82257,848,105,1
Travis,2021-04-30,82339,851,82,3
Travis,2021-05-01,82402,851,63,0
Travis,2021-05-02,82448,851,46,0
Travis,2021-05-03,82526,851,78,0
Travis,2021-05-04,82566,854,40,3
Travis,2021-05-05,82658,856,92,2
Travis,2021-05-06,82733,858,75,2
Travis,2021-05-07,82815,858,82,0
Travis,2021-05-08,82882,858,67,0
Travis,2021-05-09,82901,858,19,0
Travis,2021-05-10,83002,859,101,1
Travis,2021-05-11,83062,861,60,2
Travis,2021-05-12,83145,863,83,2
Travis,2021-05-13,83201,863,56,0
Travis,2021-05-14,83261,864,60,1
Travis,2021-05-17,83366,864,105,0
Travis,2021-05-18,83403,866,37,2
Travis,2021-05-19,83457,866,54,0
Travis,2021-05-20,83495,866,38,0
Travis,2021-05-21,83524,866,29,0
Travis,2021-05-25,83616,866,92,0
Travis,2021-05-26,83650,867,34,1
Travis,2021-05-27,83693,870,43,3
Travis,2021-05-28,83722,870,29,0
Travis,2021-06-01,83765,871,43,1
Travis,2021-06-02,83830,872,65,1
Travis,2021-06-03,83878,873,48,1
Travis,2021-06-04,83910,873,32,0
Travis,2021-06-07,83962,873,52,0
Travis,2021-06-08,84047,873,85,0
Travis,2021-06-09,84072,873,25,0
Travis,2021-06-10,84104,873,32,0
Travis,2021-06-15,84274,877,170,4
Travis,2021-06-16,84303,878,29,1
Travis,2021-06-17,84344,878,41,0
Travis,2021-06-21,84383,879,39,1
Travis,2021-06-22,84467,880,84,1
Travis,2021-06-23,84509,881,42,1
Travis,2021-06-24,84534,881,25,0
Travis,2021-06-25,84571,881,37,0
Travis,2021-06-28,84610,881,39,0
Travis,2021-06-29,84706,881,96,0
Travis,2021-06-30,84728,881,22,0
Travis,2021-07-01,84770,881,42,0
Travis,2021-07-02,84842,884,72,3
Travis,2021-07-06,84888,884,46,0
Travis,2021-07-07,85047,885,159,1
Travis,2021-07-08,85127,887,80,2
